"","V1"
"378085",6
"377919",4
"379970",1
"355813",4
"369135",3
"360491",6
"379321",1
"374086",1
"378658",6
"374896",4
"380938",1
"321570",5
"379488",1
"362558",5
"372942",6
"286700",4
"375500",4
"379658",2
"268803",6
"373619",3
"347604",3
"361720",5
"376487",3
"361694",6
"366759",1
"373805",4
"372601",2
"376974",5
"375138",3
"289955",6
"354235",5
"362723",1
"273270",1
"381151",1
"379977",5
"381729",6
"375950",1
"380015",1
"382391",3
"372489",5
"372605",3
"379836",5
"377912",2
"382905",6
"378818",6
"374061",6
"249126",6
"359133",5
"251630",1
"375711",3
"375612",5
"374527",3
"375541",6
"381785",6
"376721",3
"367200",3
"367521",3
"287179",6
"379283",4
"354129",5
"348006",5
"381041",1
"373260",3
"369493",3
"379331",4
"379739",5
"369825",3
"374390",2
"376548",3
"374909",6
"377104",2
"377295",3
"378003",3
"376170",3
"378742",5
"374134",3
"376254",1
"379459",4
"367644",2
"365676",1
"359967",2
"377284",3
"347288",3
"311540",3
"340952",4
"293697",3
"355649",1
"381342",3
"285539",6
"300114",4
"377439",2
"229124",1
"369811",3
"375272",3
"379463",6
"375179",6
"371837",1
"379619",6
"378766",2
"382772",5
"380626",1
"369244",3
"357402",5
"374888",1
"382524",1
"382524",1
"355649",1
"374892",3
"381387",3
"380940",1
"376573",5
"361740",1
"307835",5
"278130",1
"382930",3
"365456",3
"272598",4
"366581",4
"351824",1
"367353",3
"382930",3
"371624",5
"379019",6
"360467",5
"357592",5
"378118",4
"378611",5
"347946",3
"369244",3
"340693",3
"375148",4
"381867",1
"382002",3
"381826",5
"380167",5
"373200",1
"381612",4
"376119",4
"348851",2
"291742",3
"181479",1
"343118",3
"379730",2
"379942",4
"365040",3
"356703",1
"376260",1
"374954",3
"372645",6
"289955",6
"371651",3
"375729",2
"354588",1
"381620",1
"369040",5
"375127",3
"381805",3
"368779",3
"248031",2
"349573",1
"348287",3
"377502",1
"379720",6
"379720",6
"380672",4
"381040",3
"301985",3
"372942",6
"369916",4
"349350",3
"365733",5
"373084",6
"379750",4
"362165",3
"349350",3
"378822",3
"378035",4
"360491",6
"380671",6
"368547",4
"378897",3
"347360",4
"378776",4
"373185",1
"368853",5
"346093",5
"378939",3
"378398",3
"382030",3
"339880",5
"380001",3
"374844",6
"374061",6
"368412",3
"266574",6
"366818",6
"369277",2
"242851",2
"276982",6
"356074",6
"354199",2
"379094",2
"368341",2
"359963",3
"346229",5
"348351",3
"381854",6
"237576",5
"367437",3
"289615",2
"378524",3
"348903",6
"382032",3
"376325",3
"243200",3
"359186",2
"373283",1
"359186",2
"375802",1
"167179",2
"374062",5
"360868",2
"375109",6
"381353",5
"329960",6
"319834",1
"363983",2
"343404",5
"377904",2
"347589",3
"378034",2
"376379",3
"340363",4
"371541",2
"332695",4
"347980",6
"277372",6
"284917",6
"272382",6
"378845",3
"373283",1
"310024",6
"379995",4
"382885",3
"382032",3
"375363",4
"369699",1
"380390",1
"377662",1
"285409",6
"373111",4
"378279",1
"341444",3
"376740",1
"381288",1
"289615",5
"379094",2
"349425",1
"366445",6
"356078",6
"380619",4
"356713",6
"378404",2
"376173",2
"373568",5
"376983",5
"365004",6
"355730",3
"379605",6
"373709",6
"369158",6
"354588",1
"376577",5
"379964",3
"348271",3
"376740",1
"382642",3
"374999",2
"329962",5
"368981",1
"368253",6
"370128",2
"375681",1
"379931",3
"345691",4
"376323",2
"382439",5
"352276",4
"376848",3
"242091",4
"371801",2
"371788",3
"349254",4
"348462",3
"350318",5
"369443",3
"276840",6
"376287",5
"296627",3
"375290",5
"379259",6
"374987",6
"376845",1
"379041",6
"358949",2
"377693",1
"254599",6
"369278",4
"376196",3
"374422",5
"373151",3
"364642",5
"381078",4
"381271",6
"376544",1
"360586",1
"375332",5
"375604",5
"372823",3
"381693",3
"379977",5
"379836",2
"369331",2
"377415",6
"347050",6
"373516",6
"374424",4
"237576",5
"382301",4
"367720",5
"368385",2
"368979",6
"378703",2
"354235",5
"376682",2
"352455",6
"245324",3
"376845",1
"376819",3
"376881",2
"378521",4
"379613",6
"288227",6
"374710",2
"367046",6
"348851",5
"358147",6
"319959",3
"369705",1
"321570",5
"376211",5
"329763",4
"377796",1
"382407",3
"374863",2
"374792",2
"375457",6
"377244",4
"379593",5
"372246",1
"380007",4
"377724",1
"380063",3
"343118",3
"226044",3
"382830",4
"362120",5
"379558",4
"378814",2
"374843",4
"352312",3
"376566",3
"380794",2
"381979",5
"374562",2
"301758",6
"363123",3
"374102",1
"377950",1
"369867",5
"378326",6
"378682",3
"378850",2
"312335",2
"374579",3
"360639",6
"376023",1
"368796",3
"369014",4
"369014",4
"381906",1
"374909",6
"261127",6
"368412",3
"365106",3
"379378",4
"380356",3
"368981",3
"377486",6
"287861",6
"376658",4
"285250",1
"380554",1
"376905",1
"382036",3
"375635",2
"352367",1
"356566",6
"380167",5
"368322",3
"374601",3
"371811",4
"378070",3
"367512",3
"378902",2
"382935",3
"381270",6
"376038",3
"375882",3
"378646",5
"272406",6
"380956",3
"380188",4
"374023",3
"369153",2
"317673",6
"337177",6
"379787",1
"373121",6
"187049",6
"367785",4
"374493",3
"379885",5
"364093",5
"381464",5
"379497",3
"382585",3
"382585",3
"380188",4
"371999",5
