"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","develop","citi","manag","design","excel","knowledg","relat","communic"
"2","knowledg","knowledg","project","construct","communic","secur","degre","team"
"3","applic","polici","multipl","licens","profici","system","servic","data"
"4","data","health","demonstr","engin","microsoft","follow","state","written"
"5","databas","familiar","complex","knowledg","interperson","network","law","analysi"
"6","sql","includ","staff","communic","organiz","includ","public","analyt"
"7","servic","york","proven","valid","word","environ","communiti","independ"
"8","system","public","organ","technic","oral","understand","field","detail"
"9","process","profession","high","driver","write","manag","program","environ"
"10","web","issu","busi","applic","offic","certif","legal","effect"
